Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
0,7_obj3_f10,4,7,1.0,0.9228789806365967,0.0026483484221854568,4.166240464620347,[0.47512034 0.25324497 0.2071812 ],[0.47430137 0.13153526 0.20920376],[-0.00140577  0.00504854  0.76070786  0.6490733 ],[-0.68681806 -0.00911018  0.00386981  0.726762  ],[0.47533199 0.30326235 0.25679362],[0.47402272 0.30460829 0.25866124],"[-0.38034742  0.99329648  0.23115892 -1.76481625 -1.87089062 -1.55270135
 -1.1449611 ]"
1,7_obj3_f10,16,7,1.0,0.6794413328170776,0.00012447278441197245,4.155263481662012,[0.47746915 0.2460881  0.20726611],[ 0.47416121 -0.00720916  0.21479693],[-0.00234957  0.00373059  0.75761271  0.65268946],[-0.68828028 -0.01834859  0.00750143  0.72517401],[0.4764564  0.29754916 0.25876987],[0.47640634 0.29744634 0.25872073],"[-0.51761258  1.01845802  0.09764207 -1.61527392 -2.0285013  -1.79054423
 -1.09717772]"
2,7_obj3_f10,11,7,1.0,0.5998929738998413,6.87149336637647e-05,4.167110996304739,[0.48088419 0.26539606 0.20671634],[ 0.47363591 -0.01189028  0.21971858],[-0.00109459  0.00371948  0.75857288  0.65157664],[-0.69260561 -0.0153253   0.01420757  0.72101367],[0.4797622  0.31685823 0.25849715],[0.47977704 0.31688368 0.25843507],"[-0.51392269  1.00478294  0.08187616 -1.61121936 -2.03456416 -1.80035961
 -1.07654712]"
3,7_obj3_f10,7,7,1.0,0.6256383657455444,0.0023374702360735833,4.164342854518878,[0.47384432 0.2623935  0.20713507],[ 0.46754888 -0.0069192   0.21977831],[-0.00254737  0.00292532  0.74216419  0.6702069 ],[-0.69201672 -0.01657845  0.01239169  0.72158474],[0.47151062 0.31559002 0.25971431],[0.47275299 0.31400564 0.25852686],"[-0.51439907  0.99589994  0.07807513 -1.6342072  -2.03416993 -1.79995119
 -1.09310974]"
4,7_obj3_f10,15,7,1.0,0.708716630935669,0.00023489701420656312,4.152310130533615,[0.47536162 0.24019901 0.20732607],[ 0.47525007 -0.00291584  0.21194793],[-0.00168501  0.0022652   0.75830144  0.65189797],[-0.68638295 -0.01812663  0.00484948  0.72699815],[0.47430444 0.29177791 0.2587634 ],[0.47426426 0.29155701 0.25869435],"[-0.51474685  1.02560056  0.0953867  -1.61379093 -2.02158371 -1.79145461
 -1.10303525]"
5,7_obj3_f10,6,7,1.0,0.666551947593689,0.0024853449309358002,4.160161296231745,[0.47344479 0.25143269 0.20720749],[ 0.46776983 -0.00634398  0.21544904],[-0.00180762  0.00341027  0.77943617  0.62646973],[-0.68916333 -0.01315368  0.00783555  0.72444427],[0.472359  0.3029564 0.2586242],[0.47101718 0.30466133 0.25983649],"[-0.51632433  1.00653881  0.07934276 -1.63725916 -2.02555864 -1.79614751
 -1.10340964]"
6,7_obj3_f10,9,7,1.0,0.651410698890686,0.00247395786946626,4.159635002120452,[0.47973841 0.25622582 0.20721219],[ 0.47588521 -0.00803308  0.21660225],[-0.00259832  0.00262256  0.75828862  0.65190852],[-0.69150054 -0.01508144  0.01320961  0.72209764],[0.47735304 0.3094812  0.25985682],[0.47864893 0.30774313 0.25866508],"[-0.51566448  1.01351333  0.08742276 -1.60522886 -2.03172333 -1.79787378
 -1.0751488 ]"
7,7_obj3_f10,1,7,1.0,0.6392781734466553,0.00012086932854523584,4.156358782269693,[0.48210686 0.2581639  0.20729955],[ 0.4742136  -0.00906114  0.21515194],[-0.00251096  0.00399195  0.75964648  0.65031916],[-0.69104469 -0.01837054  0.0149389   0.72242409],[0.48098487 0.30994633 0.25871682],[0.48098934 0.30985484 0.25863796],"[-0.51406261  1.01736308  0.09104937 -1.60624255 -2.03746808 -1.79614847
 -1.08140624]"
8,7_obj3_f10,5,7,1.0,0.0010004645446315408,0.00014879514647535676,4.377900848750457,[0.47327876 0.25564566 0.20722686],[ 0.46915999 -0.08590186  0.21827097],[-5.58816595e-04  3.11189494e-03  7.71075189e-01  6.36736274e-01],[-0.71313143  0.00489532 -0.01062982  0.70093268],[0.47321853 0.3056429  0.25709257],[0.47328222 0.30563185 0.25722659],"[-0.55926249  1.00793479 -0.05586854 -1.54080323 -2.04474174 -1.89569322
 -1.08340671]"
9,7_obj3_f10,12,7,1.0,0.7130449414253235,0.00028031913778261947,4.154263649101095,[0.47003514 0.24669416 0.20727141],[ 0.48042908 -0.00898432  0.21223608],[-0.00141407  0.00297348  0.75977266  0.65018052],[-0.68684375 -0.02246142  0.00895815  0.7264027 ],[0.4689765  0.29804307 0.25863257],[0.46906614 0.29777753 0.25862694],"[-0.51610106  1.03594366  0.10218733 -1.58678844 -2.02680634 -1.79854873
 -1.08694152]"
10,7_obj3_f10,13,7,1.0,0.6712351441383362,0.0002177185567201452,4.158816300654478,[0.47003514 0.24669416 0.20727141],[ 0.47437596 -0.00997845  0.21555167],[-0.00156344  0.00345699  0.76475167  0.64431399],[-0.68809313 -0.01701744  0.00846321  0.72537345],[0.47650072 0.29793224 0.25878072],[0.47652212 0.2977283  0.25870755],"[-0.52339934  1.01902679  0.09075426 -1.6072521  -2.03193387 -1.80213531
 -1.08908849]"
11,7_obj3_f10,10,7,1.0,0.9181501865386963,0.0020914592077798735,4.155501742758137,[0.47433418 0.25431114 0.20703097],[0.4729574  0.12288537 0.20953113],[-0.00095817  0.00384596  0.76141644  0.64825094],[-0.68781382 -0.01258358  0.00418795  0.72576594],[0.47428048 0.30473527 0.25697315],[0.4732199  0.30571374 0.25848708],"[-0.38517203  0.99089335  0.22729491 -1.76413249 -1.88094394 -1.55602307
 -1.14508017]"
12,7_obj3_f10,3,7,1.0,0.0005177071434445679,0.00010348518619591526,4.3422681439643815,[0.48789454 0.26841426 0.20701231],[ 0.4849326  -0.0737952   0.21721549],[-2.44693016e-04  3.24013480e-03  7.47442722e-01  6.64318323e-01],[-0.71245092  0.00488165 -0.00641358  0.70167565],[0.48788172 0.31835186 0.25703657],[0.48785207 0.31844932 0.25701833],"[-0.54437868  1.02125718 -0.02876771 -1.51238677 -2.02788607 -1.87558117
 -1.04743042]"
13,7_obj3_f10,8,7,1.0,0.045553650707006454,0.00020309083144713,4.350389729820731,[0.4790234  0.26307374 0.20714964],[ 0.47503328 -0.07667737  0.21917829],[-4.45786369e-04  4.00681561e-03  7.49889910e-01  6.61550343e-01],[-0.71258312  0.00622343 -0.00455196  0.7015453 ],[0.47891027 0.31325081 0.25707796],[0.47889695 0.31345308 0.25709045],"[-0.54916668  1.00786127 -0.03988242 -1.53793025 -2.03821111 -1.88374435
 -1.0610496 ]"
14,7_obj3_f10,14,7,1.0,0.6755996942520142,0.001244142748200497,4.153437549184038,[0.49481869 0.2587426  0.20729472],[ 0.50024062 -0.00295008  0.2117112 ],[-0.00138718  0.0035011   0.75882679  0.6512816 ],[-0.68753701 -0.02281505  0.01551823  0.72562492],[0.49373531 0.31021917 0.25873455],[0.49302027 0.31117105 0.25837329],"[-0.5043745   1.06026325  0.11767682 -1.52118337 -2.02144527 -1.79969227
 -1.03418228]"
15,7_obj3_f10,2,7,1.0,0.8933964371681213,0.0020333709488311387,4.16621977289962,[0.47994408 0.2626425  0.2071292 ],[0.47603732 0.1289217  0.20530571],[-0.00085134  0.00471738  0.76471478  0.64435107],[-0.68511051 -0.00988758  0.00262049  0.72836733],[0.47986168 0.31311843 0.25700584],[0.47878617 0.3140724  0.25844383],"[-0.38897948  1.00809131  0.2367827  -1.75375757 -1.87877231 -1.55379706
 -1.14850184]"
